grande_area,area,sub_area,espec
CIENCIAS_AGRARIAS,Ciência de Alimentos,Ciência de Alimentos,Fisiologia Pós-Colheita
CIENCIAS_AGRARIAS,Ciência de Alimentos,Ciência de Alimentos,Química\, Física\, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares
CIENCIAS_BIOLOGICAS,Química de Macromoléculas,Química de Macromoléculas,
ENGENHARIAS,Projetos de Máquinas,Projetos de Máquinas,
CIENCIAS_DA_SAUDE,,,
ENGENHARIAS,Bioengenharia,Bioengenharia,
ENGENHARIAS,Materiais Não-Metálicos,Materiais Não-Metálicos,Cerâmicos
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,Projetos de Máquinas,Projetos de Máquinas,Métodos de Síntese e Otimização Aplicados ao Projeto Mecânico
CIENCIAS_AGRARIAS,Propagação de plantas,Propagação de plantas,
CIENCIAS_AGRARIAS,Microbiologia do Solo,Microbiologia do Solo,
CIENCIAS_AGRARIAS,Ciência do Solo,Ciência do Solo,Fertilidade do Solo e Adubação
CIENCIAS_AGRARIAS,Plantas Medicinais,Plantas Medicinais,
CIENCIAS_AGRARIAS,Microbiologia do Solo,Microbiologia do Solo,
CIENCIAS_AGRARIAS,Propagação de plantas,Propagação de plantas,
CIENCIAS_AGRARIAS,Conservação e Manejo de Recursos Geneticos Vegetais,Conservação e Manejo de Recursos Geneticos Vegetais,
CIENCIAS_AGRARIAS,Plantas Medicinais,Plantas Medicinais,
CIENCIAS_AGRARIAS,Fitotecnia,Fitotecnia,
CIENCIAS_AGRARIAS,Medicina Veterinária Preventiva,Medicina Veterinária Preventiva,
CIENCIAS_AGRARIAS,Medicina Veterinária Preventiva,Medicina Veterinária Preventiva,Doenças Parasitárias de Animais
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas Distribuídos e Programação Concorrente,Sistemas Distribuídos e Programação Concorrente,Indices de Carga e de Desempenho
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas Distribuídos e Programação Concorrente,Sistemas Distribuídos e Programação Concorrente,Indices de Carga e de Desempenho
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas Distribuídos e Programação Concorrente,Sistemas Distribuídos e Programação Concorrente,
ENGENHARIAS,Estruturas,Estruturas,
CIENCIAS_HUMANAS,,,
CIENCIAS_SOCIAIS_APLICADAS,,,
CIENCIAS_SOCIAIS_APLICADAS,,,
CIENCIAS_HUMANAS,,,
CIENCIAS_SOCIAIS_APLICADAS,HISTÓRIA DA ARQUITETURA E DO URBANSIMO,HISTÓRIA DA ARQUITETURA E DO URBANSIMO,
CIENCIAS_BIOLOGICAS,,,
CIENCIAS_BIOLOGICAS,Etnoecologia,Etnoecologia,
CIENCIAS_BIOLOGICAS,Etnobiologia,Etnobiologia,
CIENCIAS_BIOLOGICAS,Etnobiologia,Etnobiologia,
CIENCIAS_BIOLOGICAS,Etnoecologia de cetáceos,Etnoecologia de cetáceos,
CIENCIAS_BIOLOGICAS,Ecologia de mamíferos aquáticos,Ecologia de mamíferos aquáticos,
